,file,genotype,channel,params,slope,threshold,y_min,y_max,asymptote,RMSE,R2,log_like,Subject
0,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,3,"[-15.28190478   3.31906897  24.06738767 205.25085219 -74.29251784
  37.54244484]",2.338656087170939,39.130434782608695,65.38571645523132,192.48659075799972,71.73913043478261,55.78005874475963,-0.15140287804808006,,11
1,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,4,[53.38460013 20.45187866 15.99633208 88.95390713 47.64303196 82.07696505],1.108887998240016,28.695652173913043,61.131672930923195,135.86108150796775,69.1304347826087,43.507729990051644,-0.39833179025924403,,11
2,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,5,"[ 86.96079222  51.80616078  10.90701795 170.78432868  10.98129225
  16.63045436]",1.6145460939901364,37.82608695652174,91.1140636097901,168.33148549627487,66.52173913043478,45.152453352051296,-0.1132150951421016,,11
3,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,6,"[ 24.20709069  60.65750157  30.8699681  217.4562515  -41.01801506
  53.80028724]",1.839595998826324,46.95652173913044,38.98100142351288,142.95816657456598,80.86956521739131,42.0652161435877,-0.1578910684146546,,11
4,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,8,[29.17804408 38.93219139 10.43290438 54.81856956 17.02514418 76.11343954],0.4424284364074131,32.608695652173914,29.777837731406233,71.13527852601224,88.69565217391305,23.612306362046386,-0.5035304748325653,,11
5,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,9,"[ 20.77168632  41.38334996   6.07614299  55.055817   -15.09069345
  55.93774384]",0.6561691482198608,32.608695652173914,20.809419656905323,55.04433173794154,63.91304347826087,21.973875726949633,-0.536770545218668,,11
6,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,10,"[ 10.63214136  44.68076036   7.53455425  40.41245994 -12.2437124
  57.19560142]",0.5241855280931788,33.91304347826087,10.711092966978677,40.33897064181051,67.82608695652173,18.740445935445788,-0.592941230801437,,11
7,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,12,"[ 80.15750943  38.03405061  12.31051423 119.26004036  44.46462249
  78.77879939]",1.480805088041507,35.21739130434783,81.86003478970146,162.33857218326156,67.82608695652173,47.31639155550171,-0.23461909523007685,,11
8,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,13,"[ 22.96853701  27.64170776  13.93811856 104.18628594 -32.80493018
  47.48588836]",0.8505425312927237,18.26086956521739,32.69536637454816,102.95757548133835,67.82608695652173,39.99637139103507,-0.46839645673059604,,11
9,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,14,"[ 105.85491556  200.65799374   25.96571211 -798.50233923  116.35233423
   84.58047379]",2.223457111303789,37.82608695652174,106.03451859646783,212.37377174577946,66.52173913043478,54.58495416149798,-0.1866616096924727,,11
10,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,15,"[-4.48867509e+04 -1.46165407e+02  1.93883774e+01  1.35124786e+02
  6.98858609e+01  7.93913642e+01]",1.4323132601809814,24.782608695652176,111.20063299268344,204.61236735231267,63.91304347826087,49.068636644972635,-0.14596837059139123,,11
11,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,2,"[-256.91532214 -483.97415426   93.48119714  180.63967826 -145.09395199
  -23.27717172]",0.8782309041989854,24.782608695652176,37.51931679609464,110.06882627340211,74.34782608695652,44.88665426412243,-0.8352765704255798,,11
12,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,3,"[ 27.72711664  49.53811591  11.75824689 103.50526363 -17.56415799
  61.34026039]",1.0951156288258403,35.21739130434783,28.832337141745462,100.25292163038719,74.34782608695652,49.130016105048185,-0.8746850904404091,,11
13,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,6,"[ 13.22766477  52.02057148  10.1247279   57.76275031 -20.42106529
  65.34028199]",0.6262121980044133,39.130434782608695,13.487541604783912,55.68879842682046,79.56521739130434,30.947761227788984,-0.7271219517128247,,11
14,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,7,"[  5.52689388  67.65352577  30.74324647  95.34970889 -16.67522681
  52.2936343 ]",0.8769592401354902,48.26086956521739,10.55736501030845,58.21819327854163,80.86956521739131,27.281843469466885,-0.6870255260086529,,11
15,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,8,[ 8.53695413 64.09789578  6.56872095 25.4799083  -7.23258324 70.45624402],0.4002792303556112,56.08695652173913,8.53793383771339,25.07120639587994,80.86956521739131,10.109035057629198,-0.7019337012686593,,11
16,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,9,[11.76709341 80.46506604  8.05406143 35.53200572 -2.01929479 12.06373599],0.5468155453845871,61.30434782608696,9.754115137915983,29.962515728215934,83.47826086956522,10.718892312333292,-0.6877249768467719,,11
17,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,10,"[1.42476190e+01 1.96632051e+02 9.39290555e-02 6.32290717e+01
 5.24732528e+00 2.52213558e+01]",2.323138846203327e-06,0.0,14.247619037431814,14.247714993166765,24.782608695652176,8.642577932009415,1.165444018513817e-06,,11
18,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,11,"[ 23.65195805  46.79199072  10.33624048  83.74968841 -23.956638
  63.49096306]",0.7800506258097935,32.608695652173914,24.29485750991635,81.9507733306402,76.95652173913044,43.35587237348211,-0.7782124327769433,,11
19,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,13,"[ 16.13553195  53.86724506   9.77102218  70.30339507 -19.07251769
  63.79534761]",0.8879293203250563,41.73913043478261,16.353175353568634,68.47076589438714,76.95652173913044,30.82484566789128,-0.7644663117237174,,11
20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,14,"[ 47.01361302  44.64883948  12.7942921  155.05774952 -23.34263956
  60.03543651]",1.3571324744563198,28.695652173913043,50.211914243334796,150.5217058335845,73.04347826086956,62.5813257995095,-0.9582839056715304,,11
21,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,15,"[-80.06115692 -66.133649    61.58523296 166.68704871 -65.23451534
  11.4813123 ]",0.9671237659462522,23.47826086956522,39.73688628525677,119.629719124295,73.04347826086956,46.081676337220955,-0.8080873116249052,,11
22,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,16,"[ 45.55149104  62.0908806   12.50325602 144.15598931  25.22171912
  42.44373838]",1.1605920702321015,27.391304347826086,46.313458913905066,134.61937730113019,73.04347826086956,55.44049984628312,-0.97960217496657,,11
23,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,1,"[ 34.35769086  38.52736093  12.13437697  95.087783   -26.28090479
  52.63975389]",0.7739551886259278,26.086956521739133,36.791734898416166,93.99711840554995,70.43478260869566,39.95267086131179,-0.8415015811462918,,11
24,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,2,"[ 36.81739602  34.00685276  12.15672674 122.46570757 -30.12516167
  49.42621906]",1.0792677619261506,22.17391304347826,41.73155321533904,121.5035182272719,66.52173913043478,55.6887573599607,-0.8177462658857273,,11
25,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,5,"[ 63.81900135  12.08680496  17.21919982 139.99009882  39.67368904
  81.61495476]",1.14109358044679,16.956521739130434,89.06131508076304,178.36429094181617,63.91304347826087,61.350566734898834,-0.7871189740791336,,11
26,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,6,"[ 11.03993929  61.38689607  26.02429526  59.25261078 -20.6999801
  72.87400533]",0.5173023085453025,67.82608695652173,14.793450323477014,30.537433627029692,86.08695652173913,8.51290835163473,-0.4519972065106175,,11
27,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,8,"[ 34.83509852  31.14435718  12.47373836 116.5502493  -26.64791011
  51.34193904]",0.9025872901317955,18.26086956521739,41.04666784669984,115.6082265967177,67.82608695652173,52.18144808100714,-0.6674267665682863,,11
28,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,9,"[ 73.15395975  27.03983562  11.6062473  143.65623131 -23.6109615
  49.34989036]",0.7943314737571985,15.652173913043478,79.40383734270208,143.29571675360714,63.91304347826087,42.82094715751562,-0.6792804534449544,,11
29,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,11,"[  8.78124746  51.61990638  19.55082678  38.38405789 -14.3849634
  65.88594147]",0.530920572928677,65.21739130434783,10.703310764422232,28.015938142531258,84.78260869565217,10.040818995072184,-0.4566427913624078,,11
30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,12,"[ 83.26772112  16.65653949  15.76647182 163.75198512  35.55539618
  79.24381879]",1.1986366456364652,15.652173913043478,104.0317985887102,197.8381447689553,62.608695652173914,64.72590874074967,-0.7592444127469222,,11
31,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,13,"[ 38.01284052  16.62014044  14.55008008 104.35071655  31.30176137
  81.93043693]",0.9788667569719058,15.652173913043478,54.06021378002781,134.92311979075046,65.21739130434783,56.78209008685283,-0.5875597791160101,,11
32,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,14,[16.54352178 80.47634211 10.11717342 60.44752993 -5.0233967   2.67626154],0.7012421163087202,50.869565217391305,11.540177058692322,48.12672225740817,82.17391304347827,19.973455215670928,-0.7240290433148655,,11
33,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,15,"[ 51.62365879  14.84439941  14.57964104 111.1978652   43.08777702
  80.20033125]",1.071304556454826,18.26086956521739,67.43383493331413,153.60398403946317,66.52173913043478,58.39240473870805,-0.7719490561773914,,11
34,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,16,[36.4945785  13.21465074 13.42706673 76.79134935 46.89694829 81.52437695],0.9192732819488046,20.869565217391305,47.457845980136376,123.39781274982026,70.43478260869566,50.16974196928139,-0.7990401200255657,,11
35,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,1,"[3.09348369e+01 2.27167815e+02 1.88289871e+01 6.08220505e+04
 1.68416025e+01 4.76771450e+01]",0.4197593054797648,24.782608695652176,31.96744499096872,73.94337553894519,84.78260869565217,45.41708740107066,-0.43008403105351123,,11
36,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,WT,2,"[   57.05202754   211.38337229    23.78144227 12662.78468296
    40.54786303    42.5664012 ]",0.6343882689590297,15.652173913043478,66.9619791503059,138.67543564132663,83.47826086956522,69.48629453458754,-0.5110026797342413,,11
